userType,email,password
student,student1@gmail.com,t4t4
faculty,faculty1@gmail.com,t4t4
nonfaculty,nonfaculty1@gmail.com,t4t4
visitor,visitor1@gmail.com,t4t4
admin,admin1@gmail.com,t4t4
student,student1@gmail.com,t4t4
faculty,faculty1@gmail.com,t4t4
nonfaculty,nonfaculty1@gmail.com,t4t4
visitor,visitor1@gmail.com,t4t4
admin,admin1@gmail.com,t4t4
visitor,test23@example.com,t4t4
student,student1@gmail.com,t4t4
faculty,faculty1@gmail.com,t4t4
nonfaculty,nonfaculty1@gmail.com,t4t4
visitor,visitor1@gmail.com,t4t4
admin,admin1@gmail.com,t4t4
visitor,test23@example.com,t4t4
student,student1@gmail.com,t4t4
faculty,faculty1@gmail.com,t4t4
nonfaculty,nonfaculty1@gmail.com,t4t4
visitor,visitor1@gmail.com,t4t4
admin,admin1@gmail.com,t4t4
visitor,test23@example.com,t4t4
visitor,visit1@gmail.com,t4t4
student,student1@gmail.com,t4t4
faculty,faculty1@gmail.com,t4t4
nonfaculty,nonfaculty1@gmail.com,t4t4
visitor,visitor1@gmail.com,t4t4
admin,admin1@gmail.com,t4t4
visitor,test23@example.com,t4t4
student,student1@gmail.com,t4t4
faculty,faculty1@gmail.com,t4t4
nonfaculty,nonfaculty1@gmail.com,t4t4
visitor,visitor1@gmail.com,t4t4
admin,admin1@gmail.com,t4t4
visitor,test23@example.com,t4t4
student,student1@gmail.com,t4t4
faculty,faculty1@gmail.com,t4t4
nonfaculty,nonfaculty1@gmail.com,t4t4
visitor,visitor1@gmail.com,t4t4
admin,admin1@gmail.com,t4t4
visitor,test23@example.com,t4t4
student,student1@gmail.com,t4t4
faculty,faculty1@gmail.com,t4t4
nonfaculty,nonfaculty1@gmail.com,t4t4
visitor,visitor1@gmail.com,t4t4
admin,admin1@gmail.com,t4t4
visitor,test23@example.com,t4t4
visitor,visit1@gmail.com,t4t4
faculty,newfac@example.com,password
student,student1@gmail.com,t4t4
faculty,faculty1@gmail.com,t4t4
nonfaculty,nonfaculty1@gmail.com,t4t4
visitor,visitor1@gmail.com,t4t4
admin,admin1@gmail.com,t4t4
visitor,test23@example.com,t4t4
student,student1@gmail.com,t4t4
faculty,faculty1@gmail.com,t4t4
